New York,40.71,-74.01,1375,326
Los Angeles,34.05,-118.24,249,560
Chicago,41.88,-87.63,1027,291
Houston,29.76,-95.37,844,705
Philadelphia,39.95,-75.17,1348,352
Phoenix,33.45,-112.07,407,577
San Antonio,29.42,-98.49,760,718
San Diego,32.72,-117.16,273,603
Dallas,32.78,-96.8,803,602
San Jose,37.34,-121.89,161,445
Austin,30.27,-97.74,780,691
Indianapolis,39.77,-86.16,1072,359
Jacksonville,30.33,-81.66,1202,689
San Francisco,37.77,-122.42,147,427
Columbus,39.96,-83.0,1150,350
Charlotte,35.23,-80.84,1215,519
Fort Worth,32.76,-97.33,789,606
Detroit,42.33,-83.05,1144,273
El Paso,31.78,-106.44,550,639
Memphis,35.15,-90.05,979,522
Seattle,47.61,-122.33,180,93
Denver,39.74,-104.99,594,359
Washington,38.91,-77.04,1305,388
Boston,42.36,-71.06,1442,273
Nashville,36.16,-86.78,1060,484
Baltimore,39.29,-76.61,1312,374
Oklahoma City,35.47,-97.52,785,510
Louisville,38.25,-85.76,1084,412
Portland,45.52,-122.68,164,164
Las Vegas,36.17,-115.14,329,483
Milwaukee,43.04,-87.91,1021,249
Albuquerque,35.09,-106.61,550,522
Tucson,32.22,-110.93,436,624
Fresno,36.75,-119.77,213,465
Sacramento,38.58,-121.49,174,398
Long Beach,33.77,-118.19,249,568
Kansas City,39.1,-94.58,857,380
Mesa,33.42,-111.83,414,580
Virginia Beach,36.85,-75.98,1336,461
Atlanta,33.75,-84.39,1125,567
Colorado Springs,38.83,-104.82,598,389
Omaha,41.25,-96.0,821,309
Raleigh,35.78,-78.64,1270,497
Miami,25.76,-80.19,1248,846
Oakland,37.8,-122.27,157,455
Minneapolis,44.98,-93.27,886,184
Tulsa,36.15,-95.99,825,487
Cleveland,41.5,-81.69,1179,302
Wichita,37.69,-97.34,789,430
Arlington,32.74,-97.11,798,609
